days,open,high,low,close
144,2955.45,2955.45,2955.45,2955.45
143,2948.05,2956.76,2933.59,2955.45
142,2969.95,2978.5,2938.57,2948.51
141,2953.63,2980.29,2953.63,2971.61
140,2948.59,2964.21,2922.35,2922.94
139,2913.86,2968.09,2913.86,2953.91
138,2863.7,2863.7,2863.7,2863.7
137,2863.7,2863.7,2863.7,2863.7
136,2829.95,2865.01,2816.78,2863.7
135,2794.54,2852.8,2766.64,2852.5
134,2865.86,2874.14,2793.15,2820
133,2939.5,2945.82,2869.59,2870.12
132,2915.46,2944.25,2903.44,2930.32
131,2929.8,2929.8,2929.8,2929.8
130,2929.8,2929.8,2929.8,2929.8
129,2908.83,2932.16,2902.88,2929.8
128,2878.26,2901.92,2876.48,2881.19
127,2883.14,2891.11,2847.65,2848.42
126,2868.88,2898.23,2863.55,2868.44
125,2815.01,2844.24,2797.85,2842.74
124,2830.71,2830.71,2830.71,2830.71
123,2830.71,2830.71,2830.71,2830.71
122,2869.09,2869.09,2821.61,2830.71
121,2930.91,2930.91,2892.47,2912.43
120,2918.46,2954.86,2912.16,2939.51
119,2909.96,2921.15,2860.71,2863.39
118,2854.65,2887.72,2852.89,2878.48
117,2836.74,2836.74,2836.74,2836.74
116,2836.74,2836.74,2836.74,2836.74
115,2812.64,2842.71,2791.76,2836.74
114,2810.42,2844.9,2794.26,2797.8
113,2787.89,2815.1,2775.95,2799.31
112,2784.81,2785.54,2727.1,2736.56
111,2845.62,2868.98,2820.43,2823.16
110,2874.56,2874.56,2874.56,2874.56
109,2874.56,2874.56,2874.56,2874.56
108,2842.43,2879.22,2830.88,2874.56
107,2799.34,2806.51,2764.32,2799.55
106,2795.64,2801.88,2761.54,2783.36
105,2805.1,2851.85,2805.1,2846.06
104,2782.46,2782.46,2721.17,2761.63
103,2789.82,2789.82,2789.82,2789.82
102,2789.82,2789.82,2789.82,2789.82
101,2789.82,2789.82,2789.82,2789.82
100,2776.99,2818.57,2762.36,2789.82
99,2685,2760.75,2663.3,2749.98
98,2738.65,2756.89,2657.67,2659.41
97,2578.28,2676.85,2574.57,2663.68
96,2488.65,2488.65,2488.65,2488.65
95,2488.65,2488.65,2488.65,2488.65
94,2514.92,2538.18,2459.96,2488.65
93,2458.54,2533.22,2455.79,2526.9
92,2498.08,2522.75,2447.49,2470.5
91,2614.69,2641.39,2571.15,2584.59
90,2558.98,2631.8,2545.28,2626.65
89,2541.47,2541.47,2541.47,2541.47
88,2541.47,2541.47,2541.47,2541.47
87,2555.87,2615.91,2520.02,2541.47
86,2501.29,2637.01,2500.72,2630.07
85,2457.77,2571.42,2407.53,2475.56
84,2344.44,2449.71,2344.44,2447.33
83,2290.71,2300.73,2191.86,2237.4
82,2304.92,2304.92,2304.92,2304.92
81,2304.92,2304.92,2304.92,2304.92
80,2431.94,2453.01,2295.56,2304.92
79,2393.48,2466.97,2319.78,2409.39
78,2436.5,2453.57,2280.52,2398.1
77,2425.66,2553.93,2367.04,2529.19
76,2508.59,2562.98,2380.94,2386.13
75,2711.02,2711.02,2711.02,2711.02
74,2711.02,2711.02,2711.02,2711.02
73,2569.99,2711.33,2492.37,2711.02
72,2630.86,2660.95,2478.86,2480.64
71,2825.6,2825.6,2707.22,2741.38
70,2813.48,2882.59,2734,2882.23
69,2863.89,2863.89,2734.43,2746.56
68,2972.37,2972.37,2972.37,2972.37
67,2972.37,2972.37,2972.37,2972.37
66,2954.2,2985.93,2901.54,2972.37
65,3075.7,3083.04,2999.83,3023.94
64,3045.75,3130.97,3034.38,3130.12
63,3096.46,3136.72,2976.63,3003.37
62,2974.28,3090.96,2945.19,3090.23
61,2954.22,2954.22,2954.22,2954.22
60,2954.22,2954.22,2954.22,2954.22
59,2916.9,2959.72,2855.84,2954.22
58,3062.54,3097.07,2977.39,2978.76
57,3139.9,3182.51,3108.99,3116.39
56,3238.94,3246.99,3118.77,3128.21
55,3257.61,3259.81,3214.65,3225.89
54,3337.75,3337.75,3337.75,3337.75
53,3337.75,3337.75,3337.75,3337.75
52,3360.5,3360.76,3328.45,3337.75
