days,open,high,low,close
555,34550.00,34550.00,32142.00,32788.00
554,33941.00,35040.00,33724.00,34550.00
553,33847.00,35058.00,33601.00,33941.00
552,35542.00,35945.00,33171.00,33847.00
551,34715.00,35679.00,34297.00,35542.00
550,33124.00,34926.00,33106.00,34715.00
549,33411.00,33955.00,32747.00,33124.00
548,34585.00,35203.00,32819.00,33411.00
547,36156.00,36301.00,34075.00,34585.00
546,34682.00,36548.00,34142.00,36156.00
545,32648.00,35224.00,32493.00,34721.00
544,31315.00,33555.00,30968.00,32648.00
543,32212.00,32638.00,30190.00,31329.00
542,34858.00,35496.00,31508.00,32212.00
541,33066.00,35228.00,32364.00,34857.00
540,32895.00,34789.00,31772.00,33066.00
539,32622.00,33240.00,29002.00,32895.00
538,35853.00,35905.00,31822.00,32622.00
537,36193.00,36193.00,33400.00,35853.00
536,35493.00,36396.00,34888.00,36193.00
535,37752.00,38186.00,35204.00,35493.00
534,38550.00,39510.00,37448.00,37752.00
533,39943.00,40473.00,38364.00,38550.00
532,39836.00,41289.00,39612.00,39949.00
531,40926.00,40926.00,39382.00,39809.00
530,36041.00,38830.00,34982.00,38830.00
529,37331.00,37342.00,35509.00,36041.00
528,36410.00,37537.00,36217.00,37331.00
527,36387.00,38389.00,35850.00,36410.00
526,33625.00,36825.00,32466.00,36406.00
525,34454.00,34630.00,31101.00,33638.00
524,35938.00,36767.00,34155.00,34471.00
523,35857.00,36454.00,34874.00,35897.00
522,37071.00,37942.00,35396.00,35826.00
521,38691.00,39277.00,35626.00,37071.00
520,37739.00,39469.00,37249.00,38693.00
519,36313.00,38213.00,35976.00,37739.00
518,36677.00,37852.00,35792.00,36330.00
517,36080.00,37465.00,34230.00,36677.00
516,34266.00,36354.00,33554.00,36115.00
515,35260.00,37236.00,33687.00,34266.00
514,38476.00,39189.00,35201.00,35245.00
513,38756.00,40401.00,37266.00,38476.00
512,37656.00,40859.00,37526.00,38731.00
511,39067.00,39845.00,36553.00,37656.00
510,33791.00,39831.00,33715.00,38999.00
509,38093.00,38397.00,31228.00,33791.00
508,35250.00,38800.00,33623.00,38086.00
507,40108.00,42124.00,35263.00,35263.00
506,38468.00,42569.00,35132.00,40108.00
505,43367.00,43569.00,30445.00,38390.00
504,44853.00,45816.00,42539.00,43318.00
503,44062.00,46552.00,42162.00,44843.00
502,48266.00,49812.00,43893.00,44062.00
501,49351.00,50661.00,47128.00,48255.00
500,49253.00,51543.00,48528.00,49351.00
499,54540.00,54820.00,46710.00,49253.00
498,56942.00,57977.00,53646.00,54540.00
497,55328.00,56949.00,54612.00,56942.00
496,58001.00,59552.00,54000.00,55328.00
495,59014.00,59318.00,56530.00,57982.00
494,57713.00,59556.00,56915.00,59014.00
493,55987.00,58683.00,55350.00,57699.00
