Day,Bitcoin: (Websearch),BTC: (Websearch),Bitcoin: (News Search),BTC: (News Search)
382,52,9,47,0
381,58,10,39,10
380,69,11,39,2
379,66,10,33,2
378,77,12,34,7
377,100,18,78,5
376,69,12,46,5
375,68,12,48,11
374,89,15,61,10
373,88,15,61,5
372,61,11,36,4
371,57,9,27,5
370,66,11,37,2
369,79,14,61,6
368,67,13,72,9
367,39,8,28,0
366,78,16,37,7
365,77,14,61,7
364,67,13,47,0
363,78,15,39,0
362,99,19,100,36
361,71,15,55,8
360,53,12,76,17
359,46,9,65,0
358,53,11,70,0
357,54,11,74,7
356,63,12,45,0
355,60,12,73,0
354,63,13,37,0
353,72,14,69,0
352,100,21,75,13
351,66,14,89,6
350,35,7,44,6
349,34,7,28,6
348,35,9,34,13
347,32,11,29,0
346,36,8,19,0
345,33,6,35,0
344,38,8,35,6
343,37,8,47,6
342,37,8,36,6
341,34,7,42,7
340,36,7,7,0
339,40,8,50,6
338,44,8,42,0
337,43,9,24,0
336,57,12,66,12
335,53,11,42,6
334,38,8,20,0
333,41,9,44,7
332,48,11,46,7
331,61,13,50,6
330,55,11,53,0
329,59,12,67,12
328,46,10,73,0
327,45,9,27,0
326,50,10,56,14
325,51,11,25,6
324,46,10,35,6
323,60,13,46,6
322,50,11,41,0
321,37,7,44,6
320,28,7,6,0
319,33,8,0,0
318,38,9,49,0
317,36,8,11,0
316,32,7,35,0
315,32,6,22,0
314,36,8,34,6
313,34,8,32,0
312,36,8,41,6
311,43,10,32,0
310,39,9,58,5
309,27,7,19,8
308,28,6,22,5
307,29,6,17,0
306,28,6,13,0
305,30,7,14,0
304,28,6,30,0
303,29,6,40,0
302,33,7,39,11
301,33,8,30,0
300,29,6,23,6
299,28,6,46,7
298,27,6,0,0
297,31,7,19,0
296,37,8,47,6
295,34,8,47,6
294,25,6,24,6
293,21,5,6,0
292,19,4,7,0
291,18,4,7,0
290,22,5,25,0
289,22,5,34,0
288,20,5,10,0
287,22,5,10,5
286,22,5,11,0
285,20,5,14,0
284,22,6,14,0
283,20,5,6,0
282,21,5,27,0
281,19,4,27,0
280,18,4,5,0
279,20,4,32,5
278,19,4,13,0
277,18,4,13,6
276,21,5,34,11
275,43,9,57,8
274,44,10,24,0
273,47,11,24,0
272,48,12,33,0
271,42,10,29,0
270,44,11,10,0
269,48,11,0,0
268,48,11,68,0
267,51,11,23,0
266,50,12,15,0
265,53,11,59,0
264,46,12,18,9
263,48,11,27,0
262,51,12,56,8
261,51,12,31,0
260,55,13,37,0
259,52,12,30,7
258,51,12,44,0
257,51,11,18,0
256,51,11,9,0
255,51,11,16,0
254,54,13,29,7
253,59,14,45,7
252,59,14,15,0
251,60,13,47,8
250,58,13,27,0
249,65,16,37,0
248,72,17,24,8
247,63,15,38,0
246,59,14,51,15
245,61,14,7,0
244,57,13,22,7
243,51,12,18,0
242,54,12,0,0
241,55,13,48,8
240,57,13,29,7
239,56,13,37,0
238,57,13,46,0
237,57,13,30,7
236,55,11,45,0
235,60,13,38,10
234,63,15,32,16
233,63,15,16,0
232,68,16,23,0
231,75,16,38,8
230,74,18,31,8
229,63,13,18,0
228,63,16,26,0
227,69,17,31,0
226,66,15,16,0
225,67,15,8,0
224,73,17,46,0
223,74,17,23,8
222,65,14,18,0
221,66,15,46,9
220,72,17,40,8
219,79,18,71,8
218,70,15,23,0
217,72,18,23,0
216,77,18,16,0
215,94,23,56,9
214,94,22,77,0
213,72,17,52,9
212,71,17,32,8
211,84,19,71,16
210,100,25,54,0
209,94,24,100,23
208,63,15,28,0
207,52,14,57,0
206,54,12,33,8
205,56,12,16,0
204,52,11,23,0
203,53,11,8,0
202,45,11,39,0
201,47,11,36,0
200,67,11,18,9
199,52,12,40,16
198,69,14,46,0
197,54,12,60,0
196,51,12,15,0
195,51,12,22,7
194,47,10,18,0
193,45,10,27,0
192,47,11,49,16
191,55,13,38,0
190,57,11,31,0
189,49,12,38,0
188,52,12,15,7
187,49,11,53,0
186,50,11,9,9
185,49,12,8,0
184,51,13,31,8
183,52,12,22,7
182,53,12,45,8
181,54,13,51,0
180,53,13,16,0
179,49,12,45,0
178,53,12,31,0
177,49,11,31,0
176,54,11,15,0
175,53,12,22,0
174,54,13,44,7
173,50,11,17,0
172,46,10,18,9
171,50,11,38,0
170,51,11,22,0
169,54,13,22,7
168,53,12,28,0
167,61,15,21,7
166,51,12,33,8
165,57,12,35,9
164,60,14,23,8
163,63,14,29,0
162,58,13,14,0
161,56,14,27,7
160,56,12,47,7
159,59,15,33,0
158,54,13,42,17
157,61,14,21,0
156,63,16,13,0
155,66,17,19,6
154,80,20,31,6
153,61,14,12,0
152,35,8,16,0
151,35,8,18,0
150,36,8,21,11
149,37,8,15,0
148,38,9,15,0
147,39,8,32,0
146,40,9,11,0
145,38,8,25,6
144,37,9,25,0
143,41,9,16,0
142,42,8,54,22
141,43,9,36,10
140,41,9,5,0
139,45,9,20,0
138,46,10,54,0
137,45,10,25,0
136,46,10,21,0
135,54,12,31,5
134,51,11,10,10
133,60,13,45,5
132,75,15,35,0
131,69,14,100,6
130,53,11,25,0
129,64,14,37,11
128,56,12,55,10
127,50,10,20,5
126,41,8,19,0
125,44,9,20,0
124,48,11,11,0
123,46,11,35,0
122,48,11,16,5
121,59,13,62,5
120,52,12,43,5
119,37,8,33,5
118,39,9,14,5
117,39,7,28,0
116,37,7,49,5
115,36,7,26,0
114,37,8,24,0
113,33,7,10,0
112,35,8,9,0
111,35,7,19,0
110,35,8,28,0
109,36,7,34,6
108,35,7,5,0
107,40,8,33,0
106,35,7,42,0
105,35,7,19,5
104,37,7,14,0
103,37,7,11,0
102,36,8,11,0
101,40,8,5,0
100,36,7,0,0
99,37,8,18,5
98,41,9,18,0
97,39,8,30,0
96,33,6,0,0
95,35,6,11,0
94,39,8,13,0
93,41,8,21,0
92,36,7,33,4
91,35,8,13,0
90,38,8,25,0
89,37,7,32,0
88,39,8,5,0
87,40,8,12,0
86,42,9,20,0
85,44,8,19,0
84,47,9,18,4
83,48,9,20,3
82,47,9,15,0
81,50,11,13,0
80,58,11,27,0
79,56,11,14,0
78,58,11,37,13
77,56,11,10,7
76,70,14,9,3
75,54,11,29,4
74,60,13,8,4
73,100,21,26,3
72,73,16,38,3
71,36,8,12,0
70,42,8,13,0
69,51,10,26,4
68,30,7,11,6
67,28,7,6,6
66,32,7,42,5
65,31,7,25,0
64,30,6,25,0
63,31,7,10,5
62,31,8,15,10
61,29,6,6,0
60,76,17,20,0
59,91,20,100,8
58,88,20,48,8
57,84,17,40,0
56,82,17,25,0
55,77,20,52,0
54,68,15,31,0
53,69,15,57,0
52,77,15,0,0
51,85,20,49,0
50,86,19,49,10
49,90,21,19,0
48,82,20,41,10
47,82,21,12,0
46,82,19,72,0
45,85,20,22,11
44,93,21,10,0
43,100,22,68,20
42,86,20,19,0
41,92,22,18,0
40,96,24,75,0
39,77,18,59,12
38,80,20,72,0
37,85,20,59,10
36,82,18,20,0
35,76,16,10,0
34,73,17,48,0
33,71,17,34,11
32,72,18,12,0
31,78,18,31,10
30,82,19,49,10
29,88,19,19,0
28,78,18,19,0
27,67,16,9,0
26,63,14,10,0
25,65,14,36,0
24,66,15,43,0
23,72,16,54,22
22,68,15,22,0
21,74,16,0,0
20,78,17,56,0
19,81,21,77,51
18,79,17,14,0
17,77,18,24,12
16,81,17,45,0
15,91,19,76,11
14,92,20,62,10
13,63,15,61,10
12,65,16,0,0
11,71,17,13,0
10,74,16,47,0
9,72,18,11,0
8,99,24,70,0
7,83,18,11,0
6,76,18,54,11
5,63,15,25,0
4,66,17,51,13
3,68,15,11,0
2,64,14,46,0
1,60,13,0,0
